BF_ID	SITENAME	CONTINENT	COUNTRY	BF_TYPE	COMPLETENESS	FINDER	FINDERS_NO	SITE_SUBDIV	CONTEXT_LEVEL	DATE_FOUND	MUSEUM_HOLDER	MUSEUM_ACCESSION_NO	MUSEUM_ACCESSION_DATE	RAW_MATERIAL_TYPE	RAW_MATERIAL_TEXTURE	RAW_MATERIAL_HARDNESS	DEGREE_PATINATION	CORTEX_TYPE	CORTEX_FRONT	CORTEX_BACK	CONDITION	EDGE_PROFILE	BLANK_TYPE	BUTT_TYPE	BUTT_WORKING	WEIGHT	LENGTH	BREADTH	L1	L1_BREADTH	BB	BM	BA	BREADTH_DIV_LENGTH	L1_DIV_LENGTH	BA_DIV_BB	CIRCUMFERENCE	AREA	PERCENTAGE_WORKED	FRONTAL_SYMMETRY	THICKNESS	THICKNESS_DIV_BREADTH	EDGE_VIEW_L1	EDGE_VIEW_THICKNESS_L1	TB	TM	TA	EDGE_VIEW_CIRCUMFERENCE	EDGE_VIEW_AREA	EDGE_VIEW_SYMMETRY	NOTES
1057	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	14/1/59	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	385	122.92	82.1	62.3	80.6	73.5	80.4	58.3	0.66	0.5	0.79	311.1	7928.1	92	0.01	41.8	0.5	49.6	40.7	31	33.7	17.4	245.4	3077.3	0.01	SMALL TO MEDIUM SIZED CLEAVER WITH INTERSECTION TIP BETWEEN DORSAL AND VENTRAL FACES
1060	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	1001	174.24	107.2	90.8	104.5	87.9	103	98.8	0.61	0.52	1.12	458.7	15655.9	87	0.02	52.1	0.48	94.7	50	40.3	49	29.7	387.1	6563.6	0.03	"MEDIUM SIZED CLEAVER WITH IRREGULAR REAR SURFACE AND LARGELY UNWORKED BUTT, EXTENSIVE RETOUCH ALONG EDGES, INTERSECTION TIP"
1078	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/59	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	LIGHTLY ABRADED	IRREGULAR	UNCLEAR	NON-CORTICAL	COMPLETELY WORKED	528	143.97	79.6	91.8	79.4	50.3	72.6	66.5	0.55	0.63	1.32	340.4	8466.1	100	0.02	49.6	0.62	60.4	49	39.3	47.7	26	279	4622.5	0.01	MEDIUM SIZED ROUGH CLEAVER WITH IRREGULAR TIP
1081	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	ABRADED	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	436	142.08	88.6	106.5	87.4	64	82.7	85.5	0.62	0.74	1.33	361	10188	79	0.02	42.2	0.47	31.4	37	37	34.1	21.9	287.3	3925.4	0.02	"ERODED CLEAVER OF MEDIUM DENSE QUARTZITE WITH COMMON FINE FRACTURES, INTERSECTION TIP WITH RETOUCH CONCENTRATED ALONG LEFT HAND EDGE"
1085	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	11/1/59	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	810	181.69	98.8	77.4	97	87.9	89.9	64.3	0.54	0.42	0.73	438.3	13706.7	87	0.01	51.1	0.51	71.4	50.2	49	43.4	25	385.7	6708.9	0.01	"CLEAVER WITH SMALL INTERSECTION TIP, EXTENSIVE WORKING ALONG BOTH EDGES"
1091	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	NATURAL SURFACE	40	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	1494	191.01	139.8	152.2	134.2	107.1	126.3	133.6	0.73	0.79	1.24	507.1	20846.6	87	0.01	63	0.45	118.5	62.7	44.1	60.2	37.2	433.5	8962.8	0.12	"LARGE CLEAVER WITH REMNANT PLATFORM AND POSSIBLE BULB ON BUTT, INTERSECTION BIT"
1092	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	COMPLETELY WORKED	1218	195.81	115.8	153	114.9	74.7	107.1	110.7	0.59	0.78	1.48	475	16791	100	0.13	67.2	0.58	78.7	66.4	52.8	56	22.4	437.9	8638.5	0.01	"LARGE CLEAVER, PROBABLY SIDE STRUCK, INTERSECTION BIT"
1093	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	ABRADED	IRREGULAR	UNCLEAR	NON-CORTICAL	PARTIALLY WORKED	994	171.51	108	126.3	105.7	84.1	101.8	103.7	0.62	0.73	1.23	455.2	15128.7	83	0.05	62.7	0.58	42.9	56.8	53.7	51.8	24	392.1	7160.7	0.05	"LARGE CLEAVER, PROBABLY SIDE STRUCK, INTERSECTION BIT"
1095	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	ABRADED	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	448	141.31	80.9	68.7	80.2	69.9	79.6	72.2	0.57	0.48	1.03	340.2	9295.1	73	0.01	41.3	0.51	42.2	40.7	39.9	34.3	17	304.3	4095.3	0.01	"MEDIUM SIZED ERODED CLEAVER WITH INTERSECTION BIT, VERY LIMITED RETOUCH ALONG EDGES, POSSIBLE PLATFORM ON LOWER RIGHT HAND CORNER"
1099	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	UNWORKED	755	143.97	103	107.6	102.7	90.3	97.6	102	0.71	0.74	1.12	416.8	12879.5	75	0.02	70.7	0.68	85.1	60.1	56.3	59.8	28	349.3	7063.3	0.03	"MEDIUM SIZED CLEAVER WITH INTERSECTION BIT, PLATFORM AND BULB ON LOWER LEFT HAND CORNER, MADE ON CORNER STRUCK FLAKE BLANK"
1101	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	LIGHTLY ABRADED	IRREGULAR	FLAKE	NON-CORTICAL	UNWORKED	937	178.07	107.5	86.2	104.9	94.4	103.1	69.3	0.6	0.48	0.73	437.2	14589.6	82	0.02	61.3	0.57	47.9	60.6	60.3	51.9	30.5	399.1	7974.6	0.04	"POSSIBLE CLEAVER WITH SMALL BIT, RETOUCH CONCENTRATED ALONG LEFT HAND EDGE, PLATFORM AND POSSIBLE BULB ON BUTT"
1102	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G. I.	UNCLEAR	UNCLEAR	UNCLEAR	14/1/59	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	1504	221.87	129.9	145.9	127.1	117.1	119.6	116.5	0.58	0.65	0.99	570.3	24007.5	70	0.05	58.6	0.45	124.7	57.8	29.5	56.3	37.9	436.1	8213.9	0.01	"LARGE CLEAVER WITH RETOUCH ALONG BOTH EDGES, SIDE STRUCK"
1103	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	COMPLETELY WORKED	1782	230.64	115.5	81.5	115.5	103.3	103.6	93.1	0.5	0.35	0.9	542.5	21220.2	100	0.02	80.5	0.69	103.8	77.7	52.5	74.1	39.4	486.3	11902.4	0.02	"LARGE BIFACE, POSSIBLE CLEAVER WITH CONVEX INTERSECTION BIT"
1104	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	UNWORKED	901	178.71	113.1	96.3	112.9	99.8	109.1	101	0.63	0.53	1.01	468	17014	82	0.01	46.6	0.41	55.2	45.2	32.5	40.5	20.5	363.3	5216.8	0.03	"MEDIUM SIZED CLEAVER WITH BIT AND BUTT FORMED BY INTERSECTION, WORKING DOWN BOTH EDGES, SIDE STRUCK"
1108	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	422	139.54	82	60.3	78.6	67	77.9	56.9	0.58	0.43	0.84	351.9	8745.5	88	0.01	43	0.52	30	42	40.9	35.5	22.7	294.3	4048.8	0.07	"SMALL TO MEDIUM SIZED CLEAVER WITH PLATFORM ON BUTT, MADE ON BUTT STRUCK FLAKE BLANK, VERY LITTLE SECONDARY RETOUCH ALONG UPPER RIGHT HAND SIDE (<3 FLAKES)"
1112	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	LIGHTLY ABRADED	LINEAR	UNCLEAR	NON-CORTICAL	UNWORKED	731	167.09	101.2	68.1	100.7	82.3	96.2	83.8	0.6	0.4	1.01	393	12865.4	78	0.01	47.4	0.46	72.1	46.9	34.9	41	24.5	369.5	5494.3	0.02	"MEDIUM SIZED CLEAVER WITH IRREGULAR BIT, RETOUCH ALONG BOTH EDGES, PROBABLE REMNANT PLATFORM AND BULB ON LOWER RIGHT HAND CORNER"
1114	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	LINEAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	1160	173.9	112.3	93.6	111.8	99.7	110.8	99.9	0.64	0.53	1	449.8	16419.2	85	0.01	61.5	0.54	72.1	61.5	50.7	54.4	27.1	393.7	7613	0.09	"MEDIUM SIZED CLEAVER WITH INTERSECTION BIT AND WORKING ALONG BOTH EDGES, PROBABLY SIDE STRUCK"
1118	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	NATURAL SURFACE	15	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	UNWORKED	1203	172.5	109.2	76.7	106.5	91.8	105.7	85.4	0.63	0.44	0.93	447.8	15240.1	83	0.03	73.3	0.67	63.9	72.6	65.5	62.4	29.7	393	8737.4	0.09	"CLEAVER ROUGHOUT WITH INTERSECTION BIT, REMNANT PLATFORM ON BUTT, BUTT STRUCK"
1119	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	LINEAR	FLAKE	NON-CORTICAL	UNWORKED	684	165.3	96.8	88.9	94.8	78.4	93.3	76.4	0.58	0.53	0.97	405.3	12499.8	82	0.02	38.6	0.39	63.4	38.2	30.4	36.5	19.8	368.8	4823.6	0.01	"MEDIUM SIZED CLEAVER WITH INTERSECTION BIT, REMNANT PLATFORM ON LOWER LEFT HAND CORNER, PROBABLY SIDE STRUCK FROM LEFT HAND SIDE"
1120	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I.	UNCLEAR	UNCLEAR	UNCLEAR	14/1/59	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	UNCLEAR	NON-CORTICAL	UNWORKED	962	168.78	97.8	56.6	97.5	85.1	91.6	65.5	0.57	0.33	0.76	413.3	12750.7	77	0.06	66	0.67	71.6	64.3	55.8	61.7	29.5	372.3	7934.2	0.03	MEDIUM SIZED POSSIBLE CLEAVER ROUGHOUT WITH SMALL INTERSECTION TIP
1126	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE	G.I	UNCLEAR	UNCLEAR	UNCLEAR	28/4/58	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	7055		QUARTZITE	FINE	TOUGH	STAINED	ABRADED	100	5	FRESH	IRREGULAR	FLAKE	PARTIALLY CORTICAL	PARTIALLY WORKED	990	163.55	120.4	92.9	120.4	92.4	118.1	99.2	0.73	0.56	1.07	414.2	15377.7	82	0.02	52.5	0.43	39.4	52.3	49.2	48.1	25	357.7	6306.5	0.03	"MADE ON FLAKE STRUCK FROM A LARGE WATER ROLLED COBBLE OR BOULDER, STRUCK FROM BOULDER OUTER SURFACE"
1128	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6228		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	UNWORKED	410	145.33	88	86.1	88	70	85.2	83.7	0.6	0.59	1.19	369.7	10763.7	84	0.01	35.8	0.4	70.7	34.9	17	34.5	22.1	305.9	3422.9	0.01	"INTERSECTION BIT, WORKED ALONG BOTH EDGES, POSSIBLE REMNANT PLATFORM ON LOWER RIGHT HAND CORNER, PROBABLY SIDE STRUCK FROM RIGHT HAND SIDE"
1129	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6228		QUARTZITE	FINE	TOUGH	FRESH	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	COMPLETELY WORKED	893	146.05	104.4	67.9	102.1	84.4	101.5	90.6	0.71	0.46	1.07	409.3	12391.2	74	0.06	71	0.68	61.9	69.1	52.6	63.2	30.6	336.6	6629.8	0.25	BULBOUS CLEAVER ROUGHOUT WITH INTERSECTING BIT
1131	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6228		QUARTZITE	FINE	TOUGH	STAINED	ABRADED	45	0	LIGHTLY ABRADED	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	412	114.12	71.3	60.9	70.1	58.7	69.3	59.3	0.62	0.53	1.01	292	6608.2	84	0.05	47.7	0.66	31	47.2	44	38.7	11.8	278.4	3244.5	0.3	"SMALL CLEAVER WITH BULBOUS BUTT AND INTERSECTION BIT, MADE ON PROBABLE WATER ROLLED COBBLE OR BOULDER, REMNANT PLATFORM ON LOWER RIGHT HAND SIDE, PROBABLY SIDE STRUCK FROM RIGHT HAND SIDE"
1132	CAPE HANGKLIP	AFRICA	SOUTH AFRICA	CLEAVER	COMPLETE		UNCLEAR	UNCLEAR	UNCLEAR	UNCLEAR	"SOUTH AFRICAN, CAPE TOWN, SOUTH AFRICA"	6228		QUARTZITE	FINE	TOUGH	STAINED	UNCLEAR	0	0	FRESH	IRREGULAR	FLAKE	NON-CORTICAL	PARTIALLY WORKED	847	157.86	99.3	69.2	99	79.2	96.6	74.5	0.62	0.43	0.94	411	11213.8	81	0.06	63.4	0.63	39.8	62.7	59.6	44.8	24.7	359.6	6364	0.13	"POSSIBLE CLEAVER ROUGHOUT WITH REMNANT PLATFORM ON LEFT HAND SIDE, SIDE STRUCK FROM LEFT HAND SIDE"
